variance,skewness,curtosis,entropy,class
-3.621600,-8.666100,0.002328,2.842662,0
-4.545900,-8.167400,1.059489,2.657053,0
-3.866000,2.638300,0.195872,-1.917162,0
-3.456600,-9.522800,2.922657,4.524104,0
-0.329240,4.455200,1.691813,-4.360831,0
-4.368400,-9.671800,2.503990,4.406562,0
-3.591200,-3.012900,-0.443242,-0.808168,0
-2.092200,6.810000,1.918745,-8.265200,0
-3.203200,-5.758800,0.487103,0.839991,0
-1.535600,-9.177200,0.370909,2.358864,0
-1.224700,-8.777900,0.450273,2.312408,0
-3.989900,2.706600,-0.477688,-2.500107,0
-1.899300,-7.662500,3.096582,0.334592,0
1.576800,-10.843000,3.298364,-2.055529,0
-3.404000,-8.726100,0.097399,3.044216,0
-4.676500,3.389500,-0.913021,-3.677707,0
-2.671900,-3.064600,-0.520845,-0.458706,0
-0.803550,-2.847300,0.085244,-4.384546,0
-1.447900,4.879400,3.387741,-7.910229,0
-5.242300,-11.027200,3.369847,4.940992,0
-5.786700,-7.890200,0.071288,2.663544,0
-0.329200,4.455200,1.691813,-4.360831,0
-3.936200,-10.162200,3.369614,4.404855,0
-0.935840,-8.885500,1.376169,1.922044,0
-4.433800,-9.887000,2.970117,5.208251,0
-0.705700,5.498100,4.140310,-7.784959,0
-1.143200,3.741300,1.500497,-5.409571,0
0.382140,-8.390900,4.032722,-1.550634,0
-6.563300,-9.818700,2.496006,4.861616,0
-4.890600,3.358400,-0.542037,-3.548683,0
0.248110,0.177970,0.615202,-4.870525,0
-1.488400,-3.627400,0.034298,-3.343802,0
-4.296900,-7.617000,0.576329,2.508441,0
0.965110,-9.411100,5.073739,-0.948470,0
1.616200,-0.809080,0.676261,-8.157441,0
-2.439100,-6.441700,0.556568,0.905646,0
-2.688100,-6.019500,0.611189,0.569027,0
-3.628900,-0.813220,-0.512084,-1.729096,0
-4.567900,-3.192900,-0.622252,2.033190,0
-3.480500,-9.700800,2.808303,4.245687,0
-4.171100,-8.722000,0.116833,3.078579,0
0.206200,-9.220700,6.146958,4.724158,0
0.006892,-9.293100,1.875104,0.714558,0
-0.964410,-5.839500,0.297928,-2.305276,0
-2.856100,-6.917600,-0.602236,0.708229,0
0.786900,-9.566300,6.818650,4.913870,0
-2.084300,-6.625800,2.261835,-0.131611,0
0.786900,-9.566300,6.818650,4.913870,0
-3.910200,-6.065000,0.290143,2.529936,0
-1.634900,-3.286000,0.363814,-2.853519,0
-4.323900,4.883500,1.107935,-3.302946,0
-5.262000,-3.983400,-1.241461,1.379983,0
-3.145200,-5.825000,1.395533,0.741833,0
-2.549000,-6.149900,1.040327,1.339737,0
-4.926400,-5.496000,0.112694,2.526130,0
-4.826500,-0.802870,-0.916781,-1.802711,0
-2.563500,-6.776900,-0.477967,0.551813,0
-5.807000,-5.009700,-0.783541,2.142201,0
-3.137700,4.109600,-0.262525,-4.668647,0
0.782890,-11.360300,6.903821,1.474590,0
-2.888000,-0.446960,0.959120,-4.496014,0
-0.496650,-5.527000,0.743973,-1.682835,0
-4.258600,-11.296200,3.651708,4.723710,0
-1.793900,1.117400,0.499333,-1.485577,0
-5.402100,-3.103900,-1.726294,0.894562,0
-2.536700,-2.599000,0.129165,-2.099442,0
-4.605400,4.076500,0.115683,-2.774765,0
-2.423500,-9.533200,2.258794,3.475037,0
-1.000900,-7.784600,2.583897,0.694957,0
-0.123260,-8.984800,2.256961,1.304224,0
-3.952900,2.354800,-0.104608,-2.425425,0
-4.137300,-0.492480,-1.634116,-1.365443,0
-4.718100,-10.015300,3.193002,4.503542,0
-4.165400,3.449500,-0.504615,-3.768334,0
-4.406900,-10.907200,3.656516,5.213694,0
-2.306600,-3.536400,-0.324187,-0.634030,0
-3.793500,-7.985300,1.450404,2.809179,0
-0.049175,-6.143700,0.991143,-1.648041,0
-0.248350,-7.643900,1.017589,-0.839652,0
-1.131700,-3.964700,-0.301576,-3.488020,0
-2.803300,-9.086200,0.483129,3.485288,0
-4.468200,-2.290700,-0.670543,-1.075801,0
-5.018500,-8.597800,0.805703,3.101727,0
-1.866400,-7.776300,2.889608,0.699132,0
-3.245000,-6.630000,-0.957901,0.490541,0
-4.029600,-2.675600,-0.581746,-0.909047,0
1.131300,-1.903700,0.169144,-7.601021,0
-0.876030,-6.814100,0.301163,-0.804776,0
-4.119700,2.795600,-0.341892,-2.150662,0
-3.802700,-0.815290,-0.682733,-2.238462,0
-1.480600,-7.637700,0.585292,2.915049,0
-4.063200,-3.584000,-0.276464,-0.778280,0
-4.306400,-8.206800,0.980687,2.972408,0
-2.448600,6.317500,1.042235,-7.897388,0
-3.271800,-1.783700,-0.274758,-2.185995,0
0.644720,4.606200,3.982295,-7.820313,0
-2.954300,-1.076000,-0.781913,-0.777663,0
-2.161600,6.880400,1.355257,-8.038660,0
-3.820000,-10.927900,4.339002,4.748431,0
2.741900,-11.403800,5.907859,-1.635341,0
-3.366900,5.185600,1.706422,-3.469269,0
-4.559700,2.421100,-1.183704,-2.861704,0
-5.112900,0.498710,-1.006785,-0.795925,0
-3.339700,4.614500,0.857555,-3.896117,0
-4.202700,-0.227610,-0.810497,-1.101430,0
-3.543800,-1.239500,-1.815772,-2.309483,0
-2.313600,-10.665100,4.156482,4.231109,0
1.858400,-7.886000,1.555412,1.931399,0
-3.106000,-9.541400,3.288307,4.827438,0
-2.916300,-10.830600,3.548181,3.947356,0
-3.992200,4.467600,0.691715,-3.667343,0
-1.518000,-5.694600,0.041242,-0.089468,0
-3.235100,-9.647000,2.061106,3.573828,0
-4.218800,-6.816200,-0.951692,1.145627,0
-1.781900,-6.917600,1.357138,1.505235,0
-2.533100,-2.913500,-0.007666,0.831032,0
-3.896900,-7.416300,-0.423760,1.780126,0
-2.108000,-6.795500,-0.511180,0.091966,0
-2.896900,-0.707680,-1.485088,-2.553760,0
-0.929700,3.797100,1.018369,-4.539481,0
-3.464200,-10.687800,3.525424,4.007942,0
-4.071300,-10.402300,4.046943,4.865180,0
1.457200,-9.121400,5.333601,-0.919461,0
1.507500,-1.922400,0.237589,-7.198053,0
0.917180,-9.988400,5.346611,-0.348294,0
-2.994000,-7.201100,-0.507262,1.150107,0
2.343000,-12.951600,6.390129,-2.357893,0
-3.781800,2.884600,0.508288,-2.203414,0
-4.668900,-1.309800,-1.876830,-0.353355,0
-3.466300,-1.111200,-1.049730,-1.930481,0
-3.269700,4.341400,0.871610,-3.596327,0
-5.130200,-8.670300,1.037728,3.091700,0
-2.013900,-6.141600,-0.503036,-0.463691,0
-0.433900,-5.539500,0.717373,-1.944721,0
1.040100,-9.398700,5.402465,-0.015033,0
-4.160500,-11.219600,3.466353,4.207660,0
-5.438000,-9.466900,3.098884,5.494114,0
-5.032000,-8.202600,0.610634,2.755043,0
-5.241800,-10.538800,3.582907,4.736201,0
0.206200,-9.220700,6.146958,4.724158,0
-2.091100,-0.943580,-0.506843,-4.688207,0
-1.731700,0.347650,1.634713,-3.983822,0
-4.173600,-3.333600,-0.819675,1.312331,0
-3.923200,3.246700,-0.285810,-3.546271,0
-3.848100,-10.153900,3.567583,4.469216,0
-0.519500,3.263300,1.456079,-2.897391,0
-3.858400,-0.784250,-1.507266,-1.355780,0
-1.749600,0.175900,-0.465538,-5.321037,0
-3.627700,-0.982900,-0.518502,-0.779316,0
-2.739100,-7.401800,2.510263,0.325009,0
-4.544700,-8.227400,1.189916,2.635187,0
1.759900,-11.921100,3.701731,-2.122655,0
-5.069100,-0.213130,-1.162887,-0.389491,0
-3.459100,-11.112000,4.372761,4.948879,0
-1.935800,-8.165400,2.227128,0.376459,0
-2.486000,0.995330,0.988267,-5.250443,0
-2.422600,4.575200,0.717894,-5.907427,0
-3.947900,3.772300,0.431431,-2.850605,0
-2.263400,4.486200,1.176862,-3.514973,0
-1.356600,-4.235800,0.016700,-2.158057,0
-5.045200,-3.896400,-1.076050,1.277801,0
-3.549900,-8.616500,0.673104,3.426887,0
-0.173460,-7.869500,3.783703,0.327170,0
-2.400800,-9.359300,2.786252,3.839638,0
-4.885100,-1.599500,-1.619953,-0.256281,0
-4.192700,3.267400,0.189231,-2.586137,0
-1.116600,-8.649600,1.638330,1.234004,0
-1.023500,-6.901000,2.365266,2.405829,0
1.803000,-11.881800,5.527917,-1.195765,0
-0.117390,-6.276100,2.201738,1.917536,0
-0.570600,0.024800,0.749487,-1.138876,0
-4.055200,2.458300,-0.662826,-2.414009,0
1.695200,-1.065700,0.443363,-8.869238,0
1.119300,-10.727100,5.908377,-1.184105,0
-1.879900,-2.470700,0.017935,-2.521336,0
-3.583000,3.797100,0.661465,-3.377203,0
-0.190810,-9.129700,5.167998,4.589963,0
-3.658200,-5.686400,-0.033809,1.731732,0
0.131440,1.777500,0.955545,-8.284111,0
-2.392500,-9.798000,2.312701,3.440241,0
-1.642600,-3.014900,0.180934,-0.202681,0
0.117830,1.578900,1.283855,-7.926752,0
0.695720,-8.616500,4.563741,-1.142034,0
-2.942100,-7.410100,0.720325,1.103358,0
1.755900,-11.945900,5.321602,-2.290316,0
1.253700,-10.880300,4.572543,-1.230850,0
-3.258500,4.461400,0.743839,-3.731985,0
-1.831400,-6.367200,-0.054619,0.028079,0
-4.564500,3.627500,0.174989,-2.876439,0
-2.736500,5.032500,1.613742,-6.488236,0
-0.929700,3.797100,1.018369,-4.539481,0
-3.966300,-10.168400,3.905467,4.782935,0
-1.457800,0.084850,0.069582,-4.219565,0
-4.827200,-3.068700,-0.690050,-0.803885,0
2.341000,-12.378400,7.600368,0.490974,0
1.858400,-7.886000,1.555412,1.931399,0
-4.145400,-7.257000,0.550563,2.026375,0
-1.915700,-6.081600,2.023917,0.080552,0
-4.021500,2.191400,-0.741274,-2.612930,0
-5.886200,-5.874700,-0.143463,2.829088,0
2.089700,-10.826500,3.746929,-1.796266,0
-4.002600,3.594300,0.291695,-3.555442,0
0.786890,-9.566300,6.818650,4.913870,0
-4.175700,-10.261500,3.649505,4.481280,0
-0.832920,-7.540400,1.015737,-0.497276,0
-4.807700,-2.232700,-1.575471,0.017093,0
-5.306300,-5.268400,0.068512,2.937280,0
-2.560500,-9.268300,0.777502,3.759210,0
-2.105900,-7.604600,1.748666,0.760464,0
-2.172100,0.738740,1.570058,-5.286677,0
-4.289900,-9.181400,3.552389,5.226766,0
-3.515600,-10.189100,4.247814,5.001987,0
-2.614000,-8.008100,0.707966,3.884373,0
-0.680870,-2.325900,0.224650,-4.934104,0
-4.196200,-0.744930,-0.613488,-0.940105,0
-6.091900,-2.967300,-1.644727,1.082738,0
-1.323400,-3.296400,0.155314,-0.214545,0
-1.326400,-1.032600,1.293168,-5.522293,0
0.167350,-7.627400,3.768157,-0.624317,0
1.300000,-10.267800,5.329656,3.833944,0
2.226100,-12.539800,3.942903,-2.356000,0
-2.419600,-6.466500,-0.343595,0.711894,0
-1.098700,-0.639400,1.512481,-5.824100,0
-4.646400,-10.532600,3.436934,5.186712,0
0.360380,-4.115800,0.854594,-3.017766,0
-1.356200,-3.213600,-0.096993,-4.416042,0
-0.570600,0.024800,0.749487,-1.138876,0
2.647900,-10.137400,5.195132,2.170419,0
-3.121900,3.137000,0.671245,-1.843592,0
-5.494400,-1.547800,-1.898136,-0.342849,0
1.338900,-1.552000,0.089343,-7.154710,0
2.336100,-11.960400,5.858847,-2.193986,0
-2.259600,0.033118,1.014978,-4.633772,0
-0.469010,0.633210,0.794662,-7.350990,0
-2.729600,-2.870100,-0.423647,-0.584712,0
-2.046600,-2.030000,0.423021,-2.136225,0
1.327400,-9.498000,5.585856,-1.586512,0
-3.890500,2.152100,-0.679645,-2.770631,0
-3.999400,-0.904270,-1.485484,-1.419153,0
-2.395200,-9.508300,2.474363,3.609819,0
-3.270400,-6.932100,-0.395151,0.996048,0
1.393100,-1.566400,0.404857,-7.568042,0
-1.640600,-3.548800,0.578201,-1.322228,0
-2.774400,-6.857600,-0.241419,1.042165,0
-2.428700,-9.382100,0.928343,3.435218,0
-4.213400,2.806000,-0.351137,-2.092289,0
-1.647200,-0.482130,-0.467652,-4.878115,0
-2.059700,0.993260,1.104832,-5.101879,0
-0.379800,-0.709800,0.557381,-0.678358,0
-1.013500,-8.455100,1.794315,1.977033,0
-4.569100,4.455200,0.492733,-3.138459,0
-0.574610,-10.110500,4.073485,2.357964,0
-0.573400,-9.193800,1.706691,1.191049,0
-5.286800,-3.257000,-1.367078,1.172679,0
-4.010200,-10.656800,4.354795,4.880122,0
-4.142500,3.679200,-1.010789,-4.035911,0
-3.093400,2.917700,0.127699,-2.230687,0
-2.203400,-5.994700,-0.756591,-0.656530,0
-3.744000,-0.794590,-0.845350,-1.104348,0
-3.032900,-2.294800,-0.015896,-2.142363,0
-3.773100,-7.207300,0.672727,1.808908,0
-3.155700,-2.890800,-0.695042,-0.714455,0
-1.811400,-7.606700,2.283312,1.352642,0
-4.988000,-7.205200,0.632684,3.425750,0
-2.483000,-6.615500,0.773411,0.925250,0
-1.594000,-4.705500,0.134349,-1.371671,0
0.016103,-9.748400,1.617618,0.100347,0
-3.849600,-9.793900,3.753984,4.797113,0
-0.929700,3.797100,1.018369,-4.539481,0
-4.934200,-2.410700,-1.632023,-0.080354,0
-3.841700,-10.021500,4.187418,4.986347,0
-5.391500,-9.994600,2.727063,4.287493,0
-4.407200,0.070365,-0.798588,-2.193533,0
-2.694600,-6.797600,-0.506635,0.327790,0
-5.275600,-0.138630,-1.110434,-0.298768,0
-3.431200,-6.263700,0.051947,1.983851,0
-4.052000,0.165550,-0.435176,-0.528412,0
-1.363800,4.775900,3.177306,-8.019898,0
-0.895660,-7.776300,1.481701,3.016224,0
-1.926500,-7.755700,3.012899,0.647523,0
-0.209770,0.461460,0.310459,-7.773842,0
-4.068000,2.936300,-0.150643,-2.250473,0
-2.877000,4.059900,0.888649,-3.530349,0
-0.322300,0.898080,0.581591,-8.097007,0
1.300000,-10.267800,5.329656,3.833944,0
-1.774700,6.433400,2.162162,-7.909138,0
-1.341900,4.422100,2.979095,-7.719001,0
-0.896060,-10.547100,3.761305,2.030901,0
-0.441250,-2.948700,-0.030503,-4.381212,0
-3.242200,-6.226500,1.447913,0.105563,0
-2.567800,-3.513600,0.497960,-0.542845,0
2.215300,-11.962500,7.701736,1.140318,0
-4.134900,-6.118900,-0.186327,2.430172,0
-1.934000,0.000009,1.088876,-4.703571,0
-2.506800,-1.158800,0.489689,-3.896265,0
-2.146400,-6.079500,2.112355,0.919566,0
-0.051979,-7.052100,2.790676,2.521704,0
-1.270600,-8.035000,2.131111,0.536494,0
-1.143000,-0.833910,1.416206,-5.298895,0
-2.292800,-9.038600,0.775992,3.405013,0
-0.329200,4.455200,1.691813,-4.360831,0
-2.971900,-6.836900,-0.746401,0.155350,0
-1.684900,-8.748900,1.170990,1.465324,0
1.917700,-11.689400,3.634152,-2.001536,0
-2.372900,-10.472600,2.691222,3.472452,0
-1.028400,-9.767000,1.549208,1.631131,0
-0.274510,-9.218600,4.271062,4.003734,0
-1.603200,4.786300,3.426908,-8.082725,0
-4.616000,-10.178800,3.710108,4.858708,0
-4.247800,-7.695600,0.630183,2.903935,0
-4.021500,2.700400,0.028564,-2.522285,0
-5.029700,4.970400,0.782498,-3.422224,0
-1.590200,-2.294800,0.325120,-3.229197,0
-2.127400,-5.193900,0.880689,1.958989,0
-1.181100,-8.384700,0.570588,2.172709,0
-0.329200,4.455200,1.691813,-4.360831,0
-5.735300,-5.280800,-0.427998,2.220180,0
-2.671800,-5.657400,1.585022,-0.487793,0
-1.579900,4.707600,2.768375,-7.578839,0
-2.949900,-2.249300,0.247156,-1.323430,0
-0.519500,3.263300,1.456079,-2.897391,0
-3.735200,-9.591100,2.696877,4.378997,0
1.734400,-2.017500,0.290408,-7.812556,0
-3.884000,-10.027700,3.416889,4.519967,0
-3.525700,-1.282900,-1.475407,-2.185309,0
-4.454900,-2.497600,-0.795680,-1.170179,0
0.161080,6.462400,2.810236,-8.016377,0
-4.216400,-9.460700,4.401095,5.687303,0
-3.515200,-6.822400,0.357805,0.738839,0
-1.698800,-2.909400,0.345377,-2.885901,0
-1.060700,-2.454200,0.562201,-2.461153,0
-2.042100,-1.243600,-0.233457,-4.306643,0
-3.559400,-1.307800,-1.433260,-1.534099,0
-3.000900,-5.812600,0.308394,2.307249,0
-3.929400,-1.411200,-0.603995,-1.925795,0
-3.466700,4.072400,-0.851996,-4.476596,0
-3.966000,-3.921300,-0.222074,-0.749710,0
-1.019100,-2.330000,-0.047326,-5.002391,0
-0.964140,-5.616000,0.469786,-2.166989,0
-1.820500,-6.756200,-0.388386,-0.071630,0
-4.992300,-7.865300,0.343122,2.435157,0
1.180400,-11.509300,6.759791,0.913056,0
-4.032900,-0.231750,-1.028389,-1.064805,0
-0.660180,-10.387800,3.647437,1.998085,0
-3.598200,-7.130700,-0.413776,1.254213,0
1.858400,-7.886000,1.555412,1.931399,0
-4.097200,-0.469720,-0.643861,-1.789858,0
-3.329900,-0.912540,-0.141415,-1.622700,0
-3.108800,-3.112200,-0.301773,-0.866445,0
4.285900,-8.523400,1.396187,-2.957196,0
1.252800,-10.203600,5.875632,-1.275249,0
-0.519500,3.263300,1.456079,-2.897391,0
-0.329200,4.455200,1.691813,-4.360831,0
-0.888720,-5.344900,0.511076,-1.989545,0
-3.545800,-9.371800,3.276461,4.604339,0
0.216610,-8.032900,4.132313,-1.253800,0
-2.720600,-9.082100,0.438221,3.421781,0
-3.205100,-8.688900,0.318097,2.989872,0
-2.691700,-10.816100,3.719764,3.930288,0
2.324200,-11.517600,5.594021,-0.959819,0
-2.716100,4.200600,0.487960,-4.166361,0
-3.384800,-3.267400,-0.105883,-0.937779,0
-1.745200,-4.802800,-0.291956,-2.160066,0
-2.805000,-0.577320,-0.988365,-1.515675,0
-5.782300,-5.578800,-0.321051,2.388078,0
-3.899900,-1.734000,-0.705269,-1.732762,0
-3.518900,-6.332000,-0.258289,1.760368,0
-3.229400,-7.739100,2.450065,0.770926,0
-3.498500,-3.163900,0.198542,-0.198151,0
-2.194800,-1.378100,-0.665997,-1.278121,0
-2.252600,-9.963600,2.460870,3.604239,0
-4.152900,3.935800,0.465387,-2.825281,0
-0.743070,-11.170000,3.806402,2.002507,0
-1.910500,-8.871000,0.380894,2.428079,0
1.505500,-0.070346,1.574652,-6.704311,0
-0.588360,-10.772700,4.057126,2.048292,0
-3.230300,-7.838400,0.647176,3.681364,0
1.992200,-11.654200,5.561756,-1.806389,0
-2.852300,-9.009600,2.707665,4.236733,0
-4.277200,-2.495500,-0.280788,-0.536065,0
-1.509900,-0.039307,1.274811,-6.108987,0
-5.418800,-10.145700,3.014680,4.612386,0
-0.862020,-2.696300,0.130578,-4.323604,0
-3.811700,-10.145700,3.873742,4.710278,0
-0.547770,-10.375400,3.870586,2.175781,0
-2.371800,-7.490800,1.722462,0.256623,0
2.495300,-11.147200,3.723902,-1.369616,0
-4.636100,2.661100,-0.740720,-2.988467,0
2.252700,-11.532100,3.638545,-2.045895,0
-3.798200,-10.423000,4.260778,4.886898,0
0.362790,-8.289500,2.991605,2.419073,0
-2.126500,-6.878300,2.265096,-0.094666,0
-0.867360,-5.564300,0.427888,-1.629627,0
-3.783100,-10.052600,3.082551,4.423579,0
2.262300,-12.117700,7.707710,0.928726,0
-1.261600,-4.430300,1.521528,1.591109,0
-2.679900,-3.134900,-0.524387,-0.428032,0
0.398160,-5.978100,1.365424,-1.192280,0
-4.393700,-0.357980,-0.866244,-2.204248,0
-2.969500,-5.622200,1.184488,-0.091441,0
-1.304900,0.155210,1.759615,-6.293317,0
-2.212300,5.839500,2.057810,-7.539613,0
-1.964700,-6.938300,-0.565301,-0.673950,0
-3.086400,2.584500,0.043330,-2.251846,0
-0.379800,-0.709800,0.557381,-0.678358,0
-0.589820,-7.426600,3.116307,-0.757124,0
-0.147830,-7.946000,3.467810,-0.538343,0
0.062025,-6.197500,1.288997,-0.908542,0
-4.223000,-1.131900,-0.836397,-0.863492,0
-0.642950,-7.101800,0.462923,-0.280334,0
-1.941000,-0.463510,-0.347524,-4.760170,0
-4.004700,-0.459370,-1.385099,-1.598457,0
-3.776700,-9.779400,2.877544,4.411966,0
-3.476900,0.153140,-2.023563,-2.882038,0
-1.981800,-9.262100,1.298147,3.770496,0
-3.802300,3.869600,-0.309071,-4.143361,0
-4.348300,-11.107900,3.562383,4.700855,0
-1.151800,-1.386400,1.254832,-5.139679,0
1.257600,-1.589200,0.676938,-6.987937,0
-1.957200,5.115300,2.759421,-8.283009,0
2.484000,-12.161100,4.136940,-2.200330,0
1.149700,-1.295400,0.586142,-7.704158,0
-4.836800,-10.013200,3.597913,4.947651,0
0.121960,-8.806800,4.322596,-0.272816,0
-1.942900,-6.396100,-0.559436,-0.182004,0
-1.742000,4.809000,3.325449,-7.789892,0
1.522200,-10.840900,4.482264,-2.107466,0
1.300000,-10.267800,5.329656,3.833944,0
-3.424600,0.146930,-0.162090,-0.839107,0
-2.550300,4.951800,1.407780,-6.229369,0
-1.569100,-6.346500,2.351634,0.557541,0
-1.308700,-4.922800,0.095544,-2.011114,0
-5.177600,-8.231600,1.041494,3.456582,0
-2.229000,-9.632500,2.196086,3.498921,0
-5.627200,-10.085700,3.095652,4.836917,0
-1.213800,-8.798600,0.393662,2.256564,0
-0.379800,-0.709800,0.557381,-0.678358,0
-0.541500,-6.031900,0.718743,-1.589635,0
-4.052400,-5.680200,-0.334022,1.940944,0
-4.728500,-2.106500,-1.587542,0.035136,0
-3.435900,-0.662160,-1.539750,-2.374200,0
-0.868160,-10.242900,3.725577,2.099861,0
-3.359000,-9.802200,3.069863,4.354746,0
-3.670200,-2.994200,-0.169912,-0.888934,0
-1.334900,-6.118900,-0.419388,-0.537190,0
-3.188700,3.414300,0.634086,-2.708351,0
-2.452700,-2.965300,0.087103,-0.188910,0
-3.912100,-2.973500,-0.452872,-1.011822,0
-3.936400,-10.588500,3.677478,4.353888,0
-3.941400,3.290200,-0.577732,-3.298386,0
-3.692200,3.958500,-0.655523,-4.501872,0
